,doy,month,dcewOBSmin,dcewOBSmax,dcewOBSmean,dcewMODincmin,dcewMODincmax,dcewMODincmean,dcewMODdecmin,dcewMODdecmax,dcewMODdecmean
0,2006-01-01,01,,,,,,,,,
1,2006-01-02,01,,,,,,,,,
2,2006-01-03,01,,,,,,,,,
3,2006-01-04,01,,,,,,,,,
4,2006-01-05,01,,,,,,,,,
5,2006-01-06,01,,,,,,,,,
6,2006-01-07,01,,,,,,,,,
7,2006-01-08,01,,,,,,,,,
8,2006-01-09,01,,,,,,,,,
9,2006-01-10,01,,,,,,,,,
10,2006-01-11,01,,,,,,,,,
11,2006-01-12,01,,,,,,,,,
12,2006-01-13,01,,,,,,,,,
13,2006-01-14,01,,,,,,,,,
14,2006-01-15,01,,,,,,,,,
15,2006-01-16,01,,,,,,,,,
16,2006-01-17,01,,,,,,,,,
17,2006-01-18,01,,,,,,,,,
18,2006-01-19,01,,,,,,,,,
19,2006-01-20,01,,,,,,,,,
20,2006-01-21,01,,,,,,,,,
21,2006-01-22,01,,,,,,,,,
22,2006-01-23,01,,,,,,,,,
23,2006-01-24,01,,,,,,,,,
24,2006-01-25,01,,,,,,,,,
25,2006-01-26,01,,,,,,,,,
26,2006-01-27,01,,,,,,,,,
27,2006-01-28,01,,,,,,,,,
28,2006-01-29,01,,,,,,,,,
29,2006-01-30,01,,,,,,,,,
30,2006-01-31,01,,,,,,,,,
31,2006-02-01,02,,,,,,,,,
32,2006-02-02,02,,,,,,,,,
33,2006-02-03,02,,,,,,,,,
34,2006-02-04,02,,,,,,,,,
35,2006-02-05,02,,,,,,,,,
36,2006-02-06,02,,,,,,,,,
37,2006-02-07,02,,,,,,,,,
38,2006-02-08,02,,,,,,,,,
39,2006-02-09,02,,,,,,,,,
40,2006-02-10,02,,,,,,,,,
41,2006-02-11,02,,,,,,,,,
42,2006-02-12,02,,,,,,,,,
43,2006-02-13,02,,,,,,,,,
44,2006-02-14,02,,,,,,,,,
45,2006-02-15,02,,,,,,,,,
46,2006-02-16,02,,,,,,,,,
47,2006-02-17,02,,,,,,,,,
48,2006-02-18,02,,,,,,,,,
49,2006-02-19,02,,,,,,,,,
50,2006-02-20,02,,,,,,,,,
51,2006-02-21,02,,,,,,,,,
52,2006-02-22,02,,,,,,,,,
53,2006-02-23,02,,,,,,,,,
54,2006-02-24,02,,,,,,,,,
55,2006-02-25,02,,,,,,,,,
56,2006-02-26,02,,,,,,,,,
57,2006-02-27,02,,,,,,,,,
58,2006-02-28,02,,,,,,,,,
59,2006-03-01,03,,,,,,,,,
60,2006-03-02,03,,,,,,,,,
61,2006-03-03,03,,,,,,,,,
62,2006-03-04,03,,,,,,,,,
63,2006-03-05,03,,,,,,,,,
64,2006-03-06,03,,,,,,,,,
65,2006-03-07,03,,,,,,,,,
66,2006-03-08,03,,,,,,,,,
67,2006-03-09,03,,,,,,,,,
68,2006-03-10,03,,,,,,,,,
69,2006-03-11,03,,,,,,,,,
70,2006-03-12,03,,,,,,,,,
71,2006-03-13,03,,,,,,,,,
72,2006-03-14,03,,,,,,,,,
73,2006-03-15,03,,,,,,,,,
74,2006-03-16,03,,,,,,,,,
75,2006-03-17,03,,,,,,,,,
76,2006-03-18,03,,,,,,,,,
77,2006-03-19,03,,,,,,,,,
78,2006-03-20,03,,,,,,,,,
79,2006-03-21,03,,,,,,,,,
80,2006-03-22,03,,,,,,,,,
81,2006-03-23,03,,,,,,,,,
82,2006-03-24,03,,,,,,,,,
83,2006-03-25,03,,,,,,,,,
84,2006-03-26,03,,,,,,,,,
